Numbering,Exclusion Rule Type,UNR,Name,Overall Average Grade,Overall Covered,Assertion Status Grade,Score
1,None,none,Verification Metrics,34.54%,720.0,,
1.1,None,none,Types,30.96%,360.0,,-1
1.1.1,None,none,$unit,24.65%,10.0,,-1
1.1.1.1,None,none,riscv_coverage::r_type_cg,75%,5.0,,15
1.1.1.1.1,None,none,cp_opcode,100%,1.0,,5
1.1.1.1.1.1,None,none,r_type,100%,1.0,,5
1.1.1.1.2,None,none,cp_funct3,25%,2.0,,5
1.1.1.1.2.1,None,none,add_sub,0%,0.0,,0
1.1.1.1.2.2,None,none,sll,0%,0.0,,0
1.1.1.1.2.3,None,none,slt,0%,0.0,,0
1.1.1.1.2.4,None,none,sltu,100%,1.0,,1
1.1.1.1.2.5,None,none,xor_op,0%,0.0,,0
1.1.1.1.2.6,None,none,srl_sra,0%,0.0,,0
1.1.1.1.2.7,None,none,or_op,100%,1.0,,4
1.1.1.1.2.8,None,none,and_op,0%,0.0,,0
1.1.1.1.3,None,none,cp_funct7,100%,2.0,,5
1.1.1.1.3.1,None,none,add_etc,100%,1.0,,4
1.1.1.1.3.2,None,none,sub_sra,100%,1.0,,1
1.1.1.2,None,none,riscv_coverage::i_type_cg,22.92%,4.0,,1033
1.1.1.2.1,None,none,cp_opcode,33.33%,1.0,,516
1.1.1.2.1.1,None,none,i_type_alu,100%,1.0,,516
1.1.1.2.1.2,None,none,i_type_load,0%,0.0,,0
1.1.1.2.1.3,None,none,i_type_jalr,0%,0.0,,0
1.1.1.2.2,None,none,cp_funct3_alu,25%,2.0,,516
1.1.1.2.2.1,None,none,addi,100%,1.0,,515
1.1.1.2.2.2,None,none,slli,100%,1.0,,1
1.1.1.2.2.3,None,none,slti,0%,0.0,,0
1.1.1.2.2.4,None,none,sltiu,0%,0.0,,0
1.1.1.2.2.5,None,none,xori,0%,0.0,,0
1.1.1.2.2.6,None,none,srli_srai,0%,0.0,,0
1.1.1.2.2.7,None,none,ori,0%,0.0,,0
1.1.1.2.2.8,None,none,andi,0%,0.0,,0
1.1.1.2.3,None,none,cp_funct3_load,0%,0.0,,0
1.1.1.2.3.1,None,none,lb,0%,0.0,,0
1.1.1.2.3.2,None,none,lh,0%,0.0,,0
1.1.1.2.3.3,None,none,lw,0%,0.0,,0
1.1.1.2.3.4,None,none,lbu,0%,0.0,,0
1.1.1.2.3.5,None,none,lhu,0%,0.0,,0
1.1.1.2.4,None,none,cp_funct7_imm,33.33%,1.0,,1
1.1.1.2.4.1,None,none,fun7_zero,0%,0.0,,0
1.1.1.2.4.2,None,none,fun7_0100000,0%,0.0,,0
1.1.1.2.4.3,None,none,fun7_illegal,100%,1.0,,1
1.1.1.3,None,none,riscv_coverage::s_type_cg,0%,0.0,,0
1.1.1.3.1,None,none,cp_opcode,0%,0.0,,0
1.1.1.3.1.1,None,none,s_type,0%,0.0,,0
1.1.1.3.2,None,none,cp_funct3,0%,0.0,,0
1.1.1.3.2.1,None,none,sb,0%,0.0,,0
1.1.1.3.2.2,None,none,sh,0%,0.0,,0
1.1.1.3.2.3,None,none,sw,0%,0.0,,0
1.1.1.4,None,none,riscv_coverage::b_type_cg,0%,0.0,,0
1.1.1.4.1,None,none,cp_opcode,0%,0.0,,0
1.1.1.4.1.1,None,none,b_type,0%,0.0,,0
1.1.1.4.2,None,none,cp_funct3,0%,0.0,,0
1.1.1.4.2.1,None,none,beq,0%,0.0,,0
1.1.1.4.2.2,None,none,bne,0%,0.0,,0
1.1.1.4.2.3,None,none,blt,0%,0.0,,0
1.1.1.4.2.4,None,none,bge,0%,0.0,,0
1.1.1.4.2.5,None,none,bltu,0%,0.0,,0
1.1.1.4.2.6,None,none,bgeu,0%,0.0,,0
1.1.1.5,None,none,riscv_coverage::u_type_cg,50%,1.0,,1
1.1.1.5.1,None,none,cp_opcode,50%,1.0,,1
1.1.1.5.1.1,None,none,lui,100%,1.0,,1
1.1.1.5.1.2,None,none,auipc,0%,0.0,,0
1.1.1.6,None,none,riscv_coverage::j_type_cg,0%,0.0,,0
1.1.1.6.1,None,none,cp_opcode,0%,0.0,,0
1.1.1.6.1.1,None,none,jal,0%,0.0,,0
1.1.2,None,none,testbench,50.75%,8.0,,-1
1.1.3,None,none,Single_Cycle_Top,17.79%,29.0,,-1
1.1.4,None,none,Single_Cycle_Core,18.18%,32.0,,-1
1.1.5,None,none,Control_Unit,28.57%,8.0,,-1
1.1.6,None,none,Main_Decoder,24.01%,9.0,,-1
1.1.7,None,none,ALU_Decoder,54.17%,18.0,,-1
1.1.8,None,none,Core_Datapath,15.08%,60.0,,-1
1.1.9,None,none,PC,64.29%,31.0,,-1
1.1.10,None,none,PC_Plus_4,28.12%,18.0,,-1
1.1.11,None,none,PC_Target,19.79%,19.0,,-1
1.1.12,None,none,PC_Mux,28.87%,28.0,,-1
1.1.13,None,none,Register_File,38.64%,14.0,,-1
1.1.14,None,none,Extend,34.89%,21.0,,-1
1.1.15,None,none,ALU_Mux,1.03%,1.0,,-1
1.1.16,None,none,ALU,23.83%,9.0,,-1
1.1.17,None,none,Result_Mux,5.62%,9.0,,-1
1.1.18,None,none,Instruction_Memory,71.88%,32.0,,-1
1.1.19,None,none,Data_Memory,38.01%,4.0,,-1
1.2,None,none,Instances,38.13%,360.0,,-1
1.2.1,None,none,$unit,,0.0,,-1
1.2.2,None,none,testbench,38.13%,360.0,,-1
1.2.2.1,None,none,uut,38.57%,342.0,,-1
1.2.2.1.1,None,none,core_top,26.59%,277.0,,-1
1.2.2.1.1.1,None,none,Control,35.58%,35.0,,-1
1.2.2.1.1.1.1,None,none,Main_Decoder,24.01%,9.0,,-1
1.2.2.1.1.1.2,None,none,ALU_Decoder,54.17%,18.0,,-1
1.2.2.1.1.2,None,none,Datapath,26.02%,210.0,,-1
1.2.2.1.1.2.1,None,none,PC_inst,64.29%,31.0,,-1
1.2.2.1.1.2.2,None,none,PCPlus4_inst,28.12%,18.0,,-1
1.2.2.1.1.2.3,None,none,PCTarget_inst,19.79%,19.0,,-1
1.2.2.1.1.2.4,None,none,PCmux_inst,28.87%,28.0,,-1
1.2.2.1.1.2.5,None,none,Register_inst,38.64%,14.0,,-1
1.2.2.1.1.2.6,None,none,Extend_inst,34.89%,21.0,,-1
1.2.2.1.1.2.7,None,none,ALU_Mux_inst,1.03%,1.0,,-1
1.2.2.1.1.2.8,None,none,ALU_inst,23.83%,9.0,,-1
1.2.2.1.1.2.9,None,none,Result_Mux_inst,5.62%,9.0,,-1
1.2.2.1.2,None,none,Instr_Memory,71.88%,32.0,,-1
1.2.2.1.3,None,none,Data_Memory,38.01%,4.0,,-1
1.2.2.2,None,none,coverage_inst.r_type_cg,75%,5.0,,15
1.2.2.2.1,None,none,cp_opcode,100%,1.0,,5
1.2.2.2.1.1,None,none,r_type,100%,1.0,,5
1.2.2.2.2,None,none,cp_funct3,25%,2.0,,5
1.2.2.2.2.1,None,none,add_sub,0%,0.0,,0
1.2.2.2.2.2,None,none,sll,0%,0.0,,0
1.2.2.2.2.3,None,none,slt,0%,0.0,,0
1.2.2.2.2.4,None,none,sltu,100%,1.0,,1
1.2.2.2.2.5,None,none,xor_op,0%,0.0,,0
1.2.2.2.2.6,None,none,srl_sra,0%,0.0,,0
1.2.2.2.2.7,None,none,or_op,100%,1.0,,4
1.2.2.2.2.8,None,none,and_op,0%,0.0,,0
1.2.2.2.3,None,none,cp_funct7,100%,2.0,,5
1.2.2.2.3.1,None,none,add_etc,100%,1.0,,4
1.2.2.2.3.2,None,none,sub_sra,100%,1.0,,1
1.2.2.3,None,none,coverage_inst.i_type_cg,22.92%,4.0,,1033
